candidate_id,formula,cif_path,delta_g_h_proxy,thermo_proxy,kinetic_proxy,synthesis_proxy,total_proxy,pred_delta_g_h,pred_thermo,pred_kinetic,pred_synthesis,pred_total,delta_g_h_final,thermo_final,kinetic_final,synthesis_final,total_score,top_cif_path
24,Nb2CS2,generated_structures\candidate_024.cif,-0.15000000000000002,0.8,0.95,0.9500000000000001,0.7520246544376106,0.07072573900222778,0.9661577939987183,0.975713849067688,0.7207547426223755,0.8462325960967977,-0.03963713049888612,0.8664631175994872,0.9602855396270752,0.8583018970489502,0.878770793886755,generated_structures\generated_0.cif
5,Ta2Se,generated_structures\candidate_005.cif,-0.15000000000000002,0.8,0.95,0.9500000000000001,0.7520246544376106,0.031629495322704315,0.9668444395065308,0.9766330718994141,0.7286788821220398,0.8988028785897514,-0.059185252338647854,0.8667377758026122,0.9606532287597656,0.8614715528488159,0.8537140849675487,generated_structures\generated_1.cif
20,Nb3GeTe6,generated_structures\candidate_020.cif,-0.15000000000000002,0.8,0.95,0.9500000000000001,0.7520246544376106,0.02613905444741249,0.9621376991271973,0.9695196747779846,0.7269722819328308,0.9037738657321993,-0.061930472776293766,0.8648550796508789,0.9578078699111938,0.8607889127731324,0.8491244802111364,generated_structures\generated_2.cif
23,FeS,generated_structures\candidate_023.cif,-0.11000000000000003,0.8,0.95,0.8,0.7676145684332566,-0.012261481024324894,0.9713985323905945,0.9794145226478577,0.7479404211044312,0.9317785618503761,-0.06113074051216246,0.8685594129562377,0.961765809059143,0.7791761684417724,0.8396006431506046,generated_structures\generated_3.cif
9,HfS3,generated_structures\candidate_009.cif,0.16999999999999998,0.8,0.95,0.8,0.7126467969462359,-0.018270015716552734,0.9647548198699951,0.9708632230758667,0.7411738038063049,0.9183479827529094,0.07586499214172363,0.865901927947998,0.9583452892303467,0.7764695215225219,0.8199187449109441,generated_structures\generated_4.cif
48,HfTe5,generated_structures\candidate_048.cif,0.16999999999999998,0.8,0.95,0.8,0.7126467969462359,-0.010442445054650307,0.958641529083252,0.9632472395896912,0.7327072024345398,0.9258521332644553,0.07977877747267484,0.8634566116333008,0.9552988958358765,0.773082880973816,0.8136031176442832,generated_structures\generated_5.cif
32,Cr3O8,generated_structures\candidate_032.cif,0.16999999999999998,0.9,0.85,0.575,0.683896796946236,-0.02469256892800331,0.9682416915893555,0.9745867252349854,0.7492331266403198,0.9117430581498125,0.07265371553599834,0.9272966766357422,0.8998346900939942,0.6446932506561279,0.8076165467964371,generated_structures\generated_6.cif
29,CoO2,generated_structures\candidate_029.cif,-0.11000000000000003,0.8,0.7,0.8,0.7176145684332565,-0.02357606403529644,0.9695761203765869,0.9760674834251404,0.7498706579208374,0.9140904635669499,-0.06678803201764824,0.8678304481506347,0.8104269933700561,0.779948263168335,0.8022578901700499,generated_structures\generated_7.cif
27,MnSe,generated_structures\candidate_027.cif,0.16999999999999998,0.8,0.95,0.575,0.6788967969462358,-0.010495158843696117,0.9711361527442932,0.9795145988464355,0.7451034188270569,0.9340078103418988,0.07975242057815193,0.8684544610977173,0.9618058395385742,0.6430413675308227,0.7966783929134132,generated_structures\generated_8.cif
38,TaTe2,generated_structures\candidate_038.cif,-0.15000000000000002,0.8,0.7,0.9500000000000001,0.7020246544376105,-0.0138554647564888,0.9640160202980042,0.9708815813064575,0.7378782033920288,0.9242964313884681,-0.08192773237824441,0.8656064081192016,0.8083526325225829,0.8651512813568116,0.7960733349356535,generated_structures\generated_9.cif
